SOLUTION TO PART 1: 2,0,7,3,0,3,1,3,7
2024-12-18 00:48:43.061517465 +0100 CET m=+2.000145147                 >> a:   4400925371333, da:        20990508, dt: 2000 ms, da/dt: 10495 per ms
2024-12-18 00:48:45.061517389 +0100 CET m=+4.000145071                 >> a:   4400946140838, da:        20769505, dt: 1999 ms, da/dt: 10389 per ms
2024-12-18 00:48:47.061517153 +0100 CET m=+6.000144835                 >> a:   4400966982821, da:        20841983, dt: 1999 ms, da/dt: 10426 per ms
2024-12-18 00:48:49.061517002 +0100 CET m=+8.000144685                 >> a:   4400987606293, da:        20623472, dt: 1999 ms, da/dt: 10316 per ms
2024-12-18 00:48:51.061517478 +0100 CET m=+10.000145162                >> a:   4401005521787, da:        17915494, dt: 2000 ms, da/dt: 8957 per ms
2024-12-18 00:48:53.06151688 +0100 CET m=+12.000144565                 >> a:   4401023626494, da:        18104707, dt: 1999 ms, da/dt: 9056 per ms
2024-12-18 00:48:55.061518126 +0100 CET m=+14.000145812                >> a:   4401041631467, da:        18004973, dt: 2000 ms, da/dt: 9002 per ms
2024-12-18 00:48:57.061516864 +0100 CET m=+16.000144547                >> a:   4401060055826, da:        18424359, dt: 1999 ms, da/dt: 9216 per ms
2024-12-18 00:48:59.061517099 +0100 CET m=+18.000144783                >> a:   4401078760262, da:        18704436, dt: 2000 ms, da/dt: 9352 per ms
2024-12-18 00:49:01.061516841 +0100 CET m=+20.000144524                >> a:   4401097151450, da:        18391188, dt: 1999 ms, da/dt: 9200 per ms
2024-12-18 00:49:03.061517366 +0100 CET m=+22.000145048                >> a:   4401115921515, da:        18770065, dt: 2000 ms, da/dt: 9385 per ms
2024-12-18 00:49:05.061517399 +0100 CET m=+24.000145082                >> a:   4401134542392, da:        18620877, dt: 2000 ms, da/dt: 9310 per ms
2024-12-18 00:49:07.06151703 +0100 CET m=+26.000144713                 >> a:   4401153292458, da:        18750066, dt: 1999 ms, da/dt: 9379 per ms
2024-12-18 00:49:09.061517384 +0100 CET m=+28.000145067                >> a:   4401172071120, da:        18778662, dt: 2000 ms, da/dt: 9389 per ms
2024-12-18 00:49:11.061517119 +0100 CET m=+30.000144802                >> a:   4401190669017, da:        18597897, dt: 1999 ms, da/dt: 9303 per ms
2024-12-18 00:49:13.061516958 +0100 CET m=+32.000144641                >> a:   4401209483930, da:        18814913, dt: 1999 ms, da/dt: 9412 per ms
2024-12-18 00:49:15.061517381 +0100 CET m=+34.000145064                >> a:   4401228200945, da:        18717015, dt: 2000 ms, da/dt: 9358 per ms
2024-12-18 00:49:17.061517403 +0100 CET m=+36.000145086                >> a:   4401246099847, da:        17898902, dt: 2000 ms, da/dt: 8949 per ms
2024-12-18 00:49:19.061517245 +0100 CET m=+38.000144929                >> a:   4401264145199, da:        18045352, dt: 1999 ms, da/dt: 9027 per ms
2024-12-18 00:49:21.061517043 +0100 CET m=+40.000144725                >> a:   4401282488974, da:        18343775, dt: 1999 ms, da/dt: 9176 per ms
2024-12-18 00:49:23.06151705 +0100 CET m=+42.000144733                 >> a:   4401301308039, da:        18819065, dt: 2000 ms, da/dt: 9409 per ms
2024-12-18 00:49:25.061517142 +0100 CET m=+44.000144825                >> a:   4401320130915, da:        18822876, dt: 2000 ms, da/dt: 9411 per ms
2024-12-18 00:49:27.061517372 +0100 CET m=+46.000145055                >> a:   4401338736027, da:        18605112, dt: 2000 ms, da/dt: 9302 per ms
2024-12-18 00:49:29.061517642 +0100 CET m=+48.000145325                >> a:   4401357657557, da:        18921530, dt: 2000 ms, da/dt: 9460 per ms
2024-12-18 00:49:31.061516993 +0100 CET m=+50.000144676                >> a:   4401376305084, da:        18647527, dt: 1999 ms, da/dt: 9328 per ms
2024-12-18 00:49:33.061516828 +0100 CET m=+52.000144511                >> a:   4401395115641, da:        18810557, dt: 1999 ms, da/dt: 9409 per ms
2024-12-18 00:49:35.061517469 +0100 CET m=+54.000145152                >> a:   4401413965501, da:        18849860, dt: 2000 ms, da/dt: 9424 per ms
2024-12-18 00:49:37.061517396 +0100 CET m=+56.000145077                >> a:   4401432640794, da:        18675293, dt: 1999 ms, da/dt: 9342 per ms
2024-12-18 00:49:39.061516976 +0100 CET m=+58.000144659                >> a:   4401451455070, da:        18814276, dt: 1999 ms, da/dt: 9411 per ms
2024-12-18 00:49:41.061517359 +0100 CET m=+60.000145042                >> a:   4401470128251, da:        18673181, dt: 2000 ms, da/dt: 9336 per ms
2024-12-18 00:49:43.061517436 +0100 CET m=+62.000145118                >> a:   4401488970009, da:        18841758, dt: 2000 ms, da/dt: 9420 per ms
2024-12-18 00:49:45.061517738 +0100 CET m=+64.000145422                >> a:   4401507870802, da:        18900793, dt: 2000 ms, da/dt: 9450 per ms
2024-12-18 00:49:47.061517188 +0100 CET m=+66.000144872                >> a:   4401526231667, da:        18360865, dt: 1999 ms, da/dt: 9185 per ms
2024-12-18 00:49:49.061517008 +0100 CET m=+68.000144689                >> a:   4401545107534, da:        18875867, dt: 1999 ms, da/dt: 9442 per ms
2024-12-18 00:49:51.06151717 +0100 CET m=+70.000144854                 >> a:   4401563812428, da:        18704894, dt: 2000 ms, da/dt: 9352 per ms
2024-12-18 00:49:53.061517353 +0100 CET m=+72.000145036                >> a:   4401582525033, da:        18712605, dt: 2000 ms, da/dt: 9356 per ms
2024-12-18 00:49:55.06151708 +0100 CET m=+74.000144763                 >> a:   4401601433725, da:        18908692, dt: 1999 ms, da/dt: 9459 per ms
2024-12-18 00:49:57.061517201 +0100 CET m=+76.000144887                >> a:   4401620104117, da:        18670392, dt: 2000 ms, da/dt: 9335 per ms
2024-12-18 00:49:59.061516994 +0100 CET m=+78.000144680                >> a:   4401638839471, da:        18735354, dt: 1999 ms, da/dt: 9372 per ms
2024-12-18 00:50:01.06151693 +0100 CET m=+80.000144616                 >> a:   4401656610979, da:        17771508, dt: 1999 ms, da/dt: 8890 per ms
2024-12-18 00:50:03.061517146 +0100 CET m=+82.000144835                >> a:   4401672441806, da:        15830827, dt: 2000 ms, da/dt: 7915 per ms
2024-12-18 00:50:05.061516976 +0100 CET m=+84.000144662                >> a:   4401688213681, da:        15771875, dt: 1999 ms, da/dt: 7889 per ms
2024-12-18 00:50:07.0615174 +0100 CET m=+86.000145083                  >> a:   4401705383501, da:        17169820, dt: 2000 ms, da/dt: 8584 per ms
2024-12-18 00:50:09.06151708 +0100 CET m=+88.000144764                 >> a:   4401723098519, da:        17715018, dt: 1999 ms, da/dt: 8861 per ms
2024-12-18 00:50:11.061517094 +0100 CET m=+90.000144777                >> a:   4401741570115, da:        18471596, dt: 2000 ms, da/dt: 9235 per ms
2024-12-18 00:50:13.061516867 +0100 CET m=+92.000144549                >> a:   4401760301877, da:        18731762, dt: 1999 ms, da/dt: 9370 per ms
2024-12-18 00:50:15.061516991 +0100 CET m=+94.000144674                >> a:   4401779137867, da:        18835990, dt: 2000 ms, da/dt: 9417 per ms
2024-12-18 00:50:17.061516894 +0100 CET m=+96.000144579                >> a:   4401797674572, da:        18536705, dt: 1999 ms, da/dt: 9272 per ms
2024-12-18 00:50:19.061517187 +0100 CET m=+98.000144870                >> a:   4401815962682, da:        18288110, dt: 2000 ms, da/dt: 9144 per ms
2024-12-18 00:50:21.061517437 +0100 CET m=+100.000145126               >> a:   4401831833274, da:        15870592, dt: 2000 ms, da/dt: 7935 per ms
2024-12-18 00:50:23.061517005 +0100 CET m=+102.000144691               >> a:   4401846049311, da:        14216037, dt: 1999 ms, da/dt: 7111 per ms
2024-12-18 00:50:25.06151698 +0100 CET m=+104.000144670                >> a:   4401864689450, da:        18640139, dt: 1999 ms, da/dt: 9324 per ms
2024-12-18 00:50:27.061517365 +0100 CET m=+106.000145048               >> a:   4401883066474, da:        18377024, dt: 2000 ms, da/dt: 9188 per ms
2024-12-18 00:50:29.061517303 +0100 CET m=+108.000144986               >> a:   4401901884888, da:        18818414, dt: 1999 ms, da/dt: 9413 per ms
2024-12-18 00:50:31.061517031 +0100 CET m=+110.000144715               >> a:   4401920513664, da:        18628776, dt: 1999 ms, da/dt: 9319 per ms
2024-12-18 00:50:33.06151722 +0100 CET m=+112.000144904                >> a:   4401938927489, da:        18413825, dt: 2000 ms, da/dt: 9206 per ms
2024-12-18 00:50:35.061520969 +0100 CET m=+114.000148652               >> a:   4401957659992, da:        18732503, dt: 2000 ms, da/dt: 9366 per ms
2024-12-18 00:50:37.061516931 +0100 CET m=+116.000144615               >> a:   4401976159623, da:        18499631, dt: 1999 ms, da/dt: 9254 per ms
2024-12-18 00:50:39.061517155 +0100 CET m=+118.000144840               >> a:   4401994810869, da:        18651246, dt: 2000 ms, da/dt: 9325 per ms
2024-12-18 00:50:41.061517331 +0100 CET m=+120.000145014               >> a:   4402013583233, da:        18772364, dt: 2000 ms, da/dt: 9386 per ms
2024-12-18 00:50:43.061517251 +0100 CET m=+122.000144934               >> a:   4402031960735, da:        18377502, dt: 1999 ms, da/dt: 9193 per ms
2024-12-18 00:50:45.061517332 +0100 CET m=+124.000145015               >> a:   4402050749892, da:        18789157, dt: 2000 ms, da/dt: 9394 per ms
2024-12-18 00:50:47.061517317 +0100 CET m=+126.000145005               >> a:   4402069321871, da:        18571979, dt: 1999 ms, da/dt: 9290 per ms
2024-12-18 00:50:49.06151719 +0100 CET m=+128.000144873                >> a:   4402088108249, da:        18786378, dt: 1999 ms, da/dt: 9397 per ms
2024-12-18 00:50:51.061517239 +0100 CET m=+130.000144922               >> a:   4402106902040, da:        18793791, dt: 2000 ms, da/dt: 9396 per ms
2024-12-18 00:50:53.061516818 +0100 CET m=+132.000144499               >> a:   4402125358888, da:        18456848, dt: 1999 ms, da/dt: 9233 per ms
